id,output,gt,text
0,null,null,"""Sample 0 training sample - Nike pants and hoodies"""
4,null,null,"""Sample 100 training sample - Nike pants and pants"""
8,null,null,"""Sample 200 training sample - Nike football and pants"""
12,null,null,"""Sample 300 training sample - Nike sweaters and pants"""
16,null,null,"""Sample 400 training sample - Nike tshirts and socks"""
20,null,null,"""Sample 500 training sample - Nike sweaters and pants"""
24,null,null,"""Sample 600 training sample - Nike football and socks"""
28,null,null,"""Sample 700 training sample - Nike hoodies and hoodies"""
32,null,null,"""Sample 800 training sample - Nike pants and jeans"""
36,null,null,"""Sample 900 training sample - Nike socks and hoodies"""
40,null,null,"""Sample 1000 training sample - Nike tshirts and jeans"""
44,null,null,"""Sample 1100 training sample - Nike pants and sweaters"""
48,null,null,"""Sample 1200 training sample - Nike shoes and shoes"""
52,null,null,"""Sample 1300 training sample - Nike tshirts and hoodies"""
56,null,null,"""Sample 1400 training sample - Nike socks and hoodies"""
60,null,null,"""Sample 1500 training sample - Nike jeans and sweaters"""
64,null,null,"""Sample 1600 training sample - Nike tshirts and football"""
68,null,null,"""Sample 1700 training sample - Nike tshirts and tshirts"""
72,null,null,"""Sample 1800 training sample - Nike hoodies and sweaters"""
76,null,null,"""Sample 1900 training sample - Nike sweaters and hoodies"""
80,null,null,"""Sample 2000 training sample - Nike football and sweaters"""
84,null,null,"""Sample 2100 training sample - Nike football and hoodies"""
88,null,null,"""Sample 2200 training sample - Nike hoodies and socks"""
92,null,null,"""Sample 2300 training sample - Nike hoodies and tshirts"""
96,null,null,"""Sample 2400 training sample - Nike socks and tshirts"""
100,null,null,"""Sample 2500 training sample - Nike pants and tshirts"""
104,null,null,"""Sample 2600 training sample - Nike jeans and tshirts"""
108,null,null,"""Sample 2700 training sample - Nike hoodies and socks"""
112,null,null,"""Sample 2800 training sample - Nike tshirts and tshirts"""
116,null,null,"""Sample 2900 training sample - Nike shoes and tshirts"""
120,null,null,"""Sample 3000 training sample - Nike tshirts and hoodies"""
124,null,null,"""Sample 3100 training sample - Nike pants and socks"""
128,null,null,"""Sample 3200 training sample - Nike hoodies and jeans"""
132,null,null,"""Sample 3300 training sample - Nike pants and shoes"""
136,null,null,"""Sample 3400 training sample - Nike hoodies and sweaters"""
140,null,null,"""Sample 3500 training sample - Nike hoodies and pants"""
144,null,null,"""Sample 3600 training sample - Nike pants and sweaters"""
148,null,null,"""Sample 3700 training sample - Nike football and tshirts"""
152,null,null,"""Sample 3800 training sample - Nike shoes and tshirts"""
156,null,null,"""Sample 3900 training sample - Nike tshirts and tshirts"""
160,null,null,"""Sample 4000 training sample - Nike shoes and pants"""
164,null,null,"""Sample 4100 training sample - Nike pants and sweaters"""
168,null,null,"""Sample 4200 training sample - Nike pants and hoodies"""
172,null,null,"""Sample 4300 training sample - Nike jeans and shoes"""
176,null,null,"""Sample 4400 training sample - Nike football and socks"""
180,null,null,"""Sample 4500 training sample - Nike tshirts and shoes"""
184,null,null,"""Sample 4600 training sample - Nike pants and shoes"""
188,null,null,"""Sample 4700 training sample - Nike sweaters and socks"""
