id,output,gt,text
0,null,null,"""Sample 0 training sample - Nike pants and hoodies"""
1,null,null,"""Sample 0 training sample - Adidas socks and sweaters"""
2,null,null,"""Sample 0 training sample - Puma jeans and pants"""
3,null,null,"""Sample 0 training sample - Bata jeans and hoodies"""
4,null,null,"""Sample 100 training sample - Nike pants and pants"""
5,null,null,"""Sample 100 training sample - Adidas socks and pants"""
6,null,null,"""Sample 100 training sample - Puma tshirts and hoodies"""
7,null,null,"""Sample 100 training sample - Bata jeans and pants"""
8,null,null,"""Sample 200 training sample - Nike football and pants"""
9,null,null,"""Sample 200 training sample - Adidas socks and football"""
10,null,null,"""Sample 200 training sample - Puma sweaters and jeans"""
11,null,null,"""Sample 200 training sample - Bata shoes and pants"""
12,null,null,"""Sample 300 training sample - Nike sweaters and pants"""
13,null,null,"""Sample 300 training sample - Adidas socks and football"""
14,null,null,"""Sample 300 training sample - Puma pants and hoodies"""
15,null,null,"""Sample 300 training sample - Bata football and socks"""
16,null,null,"""Sample 400 training sample - Nike tshirts and socks"""
17,null,null,"""Sample 400 training sample - Adidas socks and sweaters"""
18,null,null,"""Sample 400 training sample - Puma shoes and hoodies"""
19,null,null,"""Sample 400 training sample - Bata pants and football"""
20,null,null,"""Sample 500 training sample - Nike sweaters and pants"""
21,null,null,"""Sample 500 training sample - Adidas sweaters and football"""
22,null,null,"""Sample 500 training sample - Puma sweaters and tshirts"""
23,null,null,"""Sample 500 training sample - Bata socks and pants"""
24,null,null,"""Sample 600 training sample - Nike football and socks"""
25,null,null,"""Sample 600 training sample - Adidas hoodies and tshirts"""
26,null,null,"""Sample 600 training sample - Puma sweaters and shoes"""
27,null,null,"""Sample 600 training sample - Bata sweaters and sweaters"""
28,null,null,"""Sample 700 training sample - Nike hoodies and hoodies"""
29,null,null,"""Sample 700 training sample - Adidas football and shoes"""
30,null,null,"""Sample 700 training sample - Puma tshirts and socks"""
31,null,null,"""Sample 700 training sample - Bata football and pants"""
32,null,null,"""Sample 800 training sample - Nike pants and jeans"""
33,null,null,"""Sample 800 training sample - Adidas tshirts and tshirts"""
34,null,null,"""Sample 800 training sample - Puma tshirts and tshirts"""
35,null,null,"""Sample 800 training sample - Bata football and tshirts"""
36,null,null,"""Sample 900 training sample - Nike socks and hoodies"""
37,null,null,"""Sample 900 training sample - Adidas football and jeans"""
38,null,null,"""Sample 900 training sample - Puma pants and pants"""
39,null,null,"""Sample 900 training sample - Bata football and jeans"""
40,null,null,"""Sample 1000 training sample - Nike tshirts and jeans"""
41,null,null,"""Sample 1000 training sample - Adidas tshirts and sweaters"""
42,null,null,"""Sample 1000 training sample - Puma socks and shoes"""
43,null,null,"""Sample 1000 training sample - Bata sweaters and jeans"""
44,null,null,"""Sample 1100 training sample - Nike pants and sweaters"""
45,null,null,"""Sample 1100 training sample - Adidas pants and pants"""
46,null,null,"""Sample 1100 training sample - Puma jeans and socks"""
47,null,null,"""Sample 1100 training sample - Bata socks and jeans"""
48,null,null,"""Sample 1200 training sample - Nike shoes and shoes"""
49,null,null,"""Sample 1200 training sample - Adidas pants and football"""
50,null,null,"""Sample 1200 training sample - Puma socks and sweaters"""
51,null,null,"""Sample 1200 training sample - Bata pants and jeans"""
52,null,null,"""Sample 1300 training sample - Nike tshirts and hoodies"""
53,null,null,"""Sample 1300 training sample - Adidas hoodies and sweaters"""
54,null,null,"""Sample 1300 training sample - Puma tshirts and tshirts"""
55,null,null,"""Sample 1300 training sample - Bata tshirts and pants"""
56,null,null,"""Sample 1400 training sample - Nike socks and hoodies"""
57,null,null,"""Sample 1400 training sample - Adidas football and jeans"""
58,null,null,"""Sample 1400 training sample - Puma tshirts and sweaters"""
59,null,null,"""Sample 1400 training sample - Bata pants and football"""
60,null,null,"""Sample 1500 training sample - Nike jeans and sweaters"""
61,null,null,"""Sample 1500 training sample - Adidas pants and sweaters"""
62,null,null,"""Sample 1500 training sample - Puma shoes and jeans"""
63,null,null,"""Sample 1500 training sample - Bata jeans and hoodies"""
64,null,null,"""Sample 1600 training sample - Nike tshirts and football"""
65,null,null,"""Sample 1600 training sample - Adidas hoodies and shoes"""
66,null,null,"""Sample 1600 training sample - Puma sweaters and shoes"""
67,null,null,"""Sample 1600 training sample - Bata socks and hoodies"""
68,null,null,"""Sample 1700 training sample - Nike tshirts and tshirts"""
69,null,null,"""Sample 1700 training sample - Adidas jeans and pants"""
70,null,null,"""Sample 1700 training sample - Puma pants and sweaters"""
71,null,null,"""Sample 1700 training sample - Bata hoodies and tshirts"""
72,null,null,"""Sample 1800 training sample - Nike hoodies and sweaters"""
73,null,null,"""Sample 1800 training sample - Adidas tshirts and shoes"""
74,null,null,"""Sample 1800 training sample - Puma hoodies and football"""
75,null,null,"""Sample 1800 training sample - Bata tshirts and tshirts"""
76,null,null,"""Sample 1900 training sample - Nike sweaters and hoodies"""
77,null,null,"""Sample 1900 training sample - Adidas socks and jeans"""
78,null,null,"""Sample 1900 training sample - Puma jeans and football"""
79,null,null,"""Sample 1900 training sample - Bata hoodies and hoodies"""
80,null,null,"""Sample 2000 training sample - Nike football and sweaters"""
81,null,null,"""Sample 2000 training sample - Adidas socks and sweaters"""
82,null,null,"""Sample 2000 training sample - Puma shoes and jeans"""
83,null,null,"""Sample 2000 training sample - Bata football and socks"""
84,null,null,"""Sample 2100 training sample - Nike football and hoodies"""
85,null,null,"""Sample 2100 training sample - Adidas jeans and pants"""
86,null,null,"""Sample 2100 training sample - Puma sweaters and hoodies"""
87,null,null,"""Sample 2100 training sample - Bata jeans and tshirts"""
88,null,null,"""Sample 2200 training sample - Nike hoodies and socks"""
89,null,null,"""Sample 2200 training sample - Adidas pants and shoes"""
90,null,null,"""Sample 2200 training sample - Puma shoes and football"""
91,null,null,"""Sample 2200 training sample - Bata jeans and football"""
92,null,null,"""Sample 2300 training sample - Nike hoodies and tshirts"""
93,null,null,"""Sample 2300 training sample - Adidas football and pants"""
94,null,null,"""Sample 2300 training sample - Puma tshirts and socks"""
95,null,null,"""Sample 2300 training sample - Bata football and shoes"""
96,null,null,"""Sample 2400 training sample - Nike socks and tshirts"""
97,null,null,"""Sample 2400 training sample - Adidas football and pants"""
98,null,null,"""Sample 2400 training sample - Puma hoodies and hoodies"""
99,null,null,"""Sample 2400 training sample - Bata football and shoes"""
100,null,null,"""Sample 2500 training sample - Nike pants and tshirts"""
101,null,null,"""Sample 2500 training sample - Adidas tshirts and tshirts"""
102,null,null,"""Sample 2500 training sample - Puma shoes and jeans"""
103,null,null,"""Sample 2500 training sample - Bata hoodies and socks"""
104,null,null,"""Sample 2600 training sample - Nike jeans and tshirts"""
105,null,null,"""Sample 2600 training sample - Adidas pants and pants"""
106,null,null,"""Sample 2600 training sample - Puma shoes and jeans"""
107,null,null,"""Sample 2600 training sample - Bata tshirts and jeans"""
108,null,null,"""Sample 2700 training sample - Nike hoodies and socks"""
109,null,null,"""Sample 2700 training sample - Adidas shoes and jeans"""
110,null,null,"""Sample 2700 training sample - Puma tshirts and shoes"""
111,null,null,"""Sample 2700 training sample - Bata football and tshirts"""
112,null,null,"""Sample 2800 training sample - Nike tshirts and tshirts"""
113,null,null,"""Sample 2800 training sample - Adidas jeans and pants"""
114,null,null,"""Sample 2800 training sample - Puma sweaters and socks"""
115,null,null,"""Sample 2800 training sample - Bata shoes and pants"""
116,null,null,"""Sample 2900 training sample - Nike shoes and tshirts"""
117,null,null,"""Sample 2900 training sample - Adidas tshirts and socks"""
118,null,null,"""Sample 2900 training sample - Puma football and pants"""
119,null,null,"""Sample 2900 training sample - Bata sweaters and socks"""
120,null,null,"""Sample 3000 training sample - Nike tshirts and hoodies"""
121,null,null,"""Sample 3000 training sample - Adidas pants and socks"""
122,null,null,"""Sample 3000 training sample - Puma shoes and sweaters"""
123,null,null,"""Sample 3000 training sample - Bata sweaters and sweaters"""
124,null,null,"""Sample 3100 training sample - Nike pants and socks"""
125,null,null,"""Sample 3100 training sample - Adidas shoes and hoodies"""
126,null,null,"""Sample 3100 training sample - Puma jeans and jeans"""
127,null,null,"""Sample 3100 training sample - Bata shoes and tshirts"""
128,null,null,"""Sample 3200 training sample - Nike hoodies and jeans"""
129,null,null,"""Sample 3200 training sample - Adidas shoes and pants"""
130,null,null,"""Sample 3200 training sample - Puma football and tshirts"""
131,null,null,"""Sample 3200 training sample - Bata sweaters and tshirts"""
132,null,null,"""Sample 3300 training sample - Nike pants and shoes"""
133,null,null,"""Sample 3300 training sample - Adidas shoes and jeans"""
134,null,null,"""Sample 3300 training sample - Puma pants and hoodies"""
135,null,null,"""Sample 3300 training sample - Bata jeans and football"""
136,null,null,"""Sample 3400 training sample - Nike hoodies and sweaters"""
137,null,null,"""Sample 3400 training sample - Adidas socks and football"""
138,null,null,"""Sample 3400 training sample - Puma football and football"""
139,null,null,"""Sample 3400 training sample - Bata socks and sweaters"""
140,null,null,"""Sample 3500 training sample - Nike hoodies and pants"""
141,null,null,"""Sample 3500 training sample - Adidas shoes and sweaters"""
142,null,null,"""Sample 3500 training sample - Puma pants and socks"""
143,null,null,"""Sample 3500 training sample - Bata football and jeans"""
144,null,null,"""Sample 3600 training sample - Nike pants and sweaters"""
145,null,null,"""Sample 3600 training sample - Adidas jeans and sweaters"""
